ASV,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714
ASV47,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,0,0,0,0
ASV48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,0
ASV49,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV5,0,0,0,0,10562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV51,0,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV52,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0
ASV53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0
ASV54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861,0
ASV55,0,0,61,0,0,0,124,0,77,0,0,0,0,525,0,0,0,0,0,0
ASV56,0,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV57,0,0,0,0,0,0,0,717,0,0,0,0,0,0,0,0,0,0,0,0
ASV58,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV59,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV6,0,0,0,0,0,9494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV60,0,0,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV61,0,0,0,0,0,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV63,0,0,0,0,0,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0
ASV65,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0
ASV67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,0,0
ASV68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0
ASV69,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8727,0,0,0
ASV72,0,0,0,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523
ASV76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0
ASV77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0
ASV78,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0
ASV79,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0
