"","LME1636","LME1637","LME1656","LME1663","LME1668","LME1670","LME1679","LME1689","LME1692","LME1695","LME1698","LME1701","LME1702","LME1705","LME1708","LME1714"
"ASV447",0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
"ASV450",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
"ASV451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
"ASV463",0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
"ASV464",0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
"ASV467",0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
"ASV472",0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV473",0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV478",0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
"ASV479",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
"ASV480",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
"ASV482",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV483",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"ASV496",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
"ASV497",0,0,0,0,0,0,0,0,0,13,17,0,0,0,0,0
"ASV498",0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"ASV504",0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
"ASV505",0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"ASV508",0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
"ASV510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
"ASV511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
"ASV512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"ASV513",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV514",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"ASV527",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
"ASV530",0,0,0,0,0,0,0,0,0,1,0,0,9,17,0,0
"ASV531",0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"ASV532",0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"ASV533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"ASV537",0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
"ASV538",0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
"ASV539",0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
"ASV540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"ASV541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"ASV542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"ASV543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"ASV544",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV547",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV551",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"ASV560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"ASV561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"ASV574",0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
"ASV575",0,0,0,0,0,0,0,0,0,0,0,8,0,0,15,0
"ASV582",0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"ASV583",0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"ASV595",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
"ASV596",0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"ASV597",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
"ASV601",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"ASV602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"ASV609",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"ASV624",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"ASV625",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"ASV626",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"ASV627",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV630",0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"ASV634",0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"ASV639",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV643",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"ASV644",0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"ASV647",0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0
"ASV649",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
"ASV658",0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"ASV662",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
"ASV664",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV670",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"ASV671",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"ASV674",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"ASV675",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"ASV677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"ASV679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"ASV687",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV689",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"ASV690",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"ASV691",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"ASV693",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"ASV697",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"ASV702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"ASV705",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV713",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"ASV714",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"ASV716",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"ASV720",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV725",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV726",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV727",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV732",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"ASV734",0,0,0,0,2,4,4,0,0,0,0,0,0,0,2,0
"ASV735",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"ASV736",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"ASV739",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"ASV741",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"ASV742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"ASV743",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV753",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"ASV755",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"ASV756",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"ASV757",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
"ASV759",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"ASV762",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"ASV764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"ASV765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"ASV766",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV767",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV773",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"ASV778",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"ASV780",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"ASV781",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"ASV782",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"ASV784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"ASV785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"ASV786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"ASV788",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV790",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV792",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV793",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV795",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"ASV796",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"ASV801",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
