ASV_ID,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714
ASV300,0,14,0,0,0,15,0,0,0,0,21,0,0,0,0,0,0,0,0,0
ASV301,0,11,0,0,0,0,0,23,0,0,16,0,0,0,0,0,0,0,0,0
ASV302,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV303,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
ASV304,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,20,0,14,0,0
ASV306,0,30,0,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0
ASV307,0,25,0,6,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
ASV308,0,20,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,0,0,0,0
ASV310,0,10,0,0,0,0,0,13,0,0,25,0,0,0,0,0,0,0,0,0
ASV311,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV312,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
ASV313,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
ASV314,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
ASV316,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV317,0,0,0,36,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
ASV319,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
ASV32,0,0,0,0,0,0,0,0,0,0,1208,0,0,0,0,0,0,0,0,0
ASV322,0,8,0,0,0,0,0,10,0,0,28,0,0,0,0,0,0,0,0,0
ASV324,0,39,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ASV325,0,9,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
ASV326,0,23,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
ASV327,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
ASV328,0,19,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
ASV329,0,7,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
ASV33,0,693,0,40,0,0,0,0,0,0,345,60,0,0,0,0,0,0,0,0
ASV330,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV331,0,0,0,0,0,0,30,0,13,0,0,0,0,0,0,0,0,0,0,0
ASV334,0,12,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
ASV335,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV336,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
