ASV_ID,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Strand,Deepest_rank,Deepest_taxon,Accepted_taxonomy
ASV30,Fungi,1.00,Ascomycota,1.00,Pezizomycetes,1.00,Pezizales,1.00,,,Trichobolus,1.00,Trichobolus_sp._zukalii-CA01,1.00,+,Species,Trichobolus_sp._zukalii-CA01,"k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,g:Trichobolus,s:Trichobolus_sp._zukalii-CA01"
ASV306,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Hypocreales,1.00,Hypocreaceae,1.00,Trichoderma,1.00,Trichoderma_sp._GD25b,0.87,+,Species,Trichoderma_sp._GD25b,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Hypocreaceae,g:Trichoderma,s:Trichoderma_sp._GD25b"
ASV322,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,1.00,Pleosporales,1.00,Pleosporales_incertae_sedis,0.97,Paraconiothyrium,0.91,Paraconiothyrium_sporulosum,0.91,+,Species,Paraconiothyrium_sporulosum,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporales_incertae_sedis,g:Paraconiothyrium,s:Paraconiothyrium_sporulosum"
ASV331,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,0.99,Ascomycota_order_incertae_sedis,0.99,Ascomycota_family_incertae_sedis,0.99,Preussia,0.99,,,+,Genus,Preussia,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Preussia"
ASV340,Fungi,1.00,Basidiomycota,1.00,Microbotryomycetes,0.95,Sporidiobolales,0.95,Sporidiobolaceae,0.95,Rhodotorula,0.95,Rhodotorula_sp.,0.93,+,Species,Rhodotorula_sp.,"k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula_sp."
ASV408,Fungi,1.00,Basidiomycota,1.00,Cystobasidiomycetes,0.88,Erythrobasidiales,0.83,,,Erythrobasidium,0.83,Erythrobasidium_sp.,0.83,+,Species,Erythrobasidium_sp.,"k:Fungi,p:Basidiomycota,c:Cystobasidiomycetes,o:Erythrobasidiales,g:Erythrobasidium,s:Erythrobasidium_sp."
ASV429,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,0.88,Ascomycota_order_incertae_sedis,0.88,Ascomycota_family_incertae_sedis,0.88,Preussia,0.88,,,+,Genus,Preussia,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Preussia"
ASV439,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Thelephorales,1.00,Thelephoraceae,1.00,Tomentella,1.00,Tomentella_sp.,0.99,+,Species,Tomentella_sp.,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella,s:Tomentella_sp."
ASV487,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Geastrales,1.00,Geastraceae,1.00,Geastrum,1.00,Geastrum_sp.,0.97,+,Species,Geastrum_sp.,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales,f:Geastraceae,g:Geastrum,s:Geastrum_sp."
ASV491,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,1.00,Microthyriales,1.00,Leptopeltidaceae,1.00,Dothiopeltis,1.00,Dothiopeltis_n._sp.,1.00,+,Species,Dothiopeltis_n._sp.,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Microthyriales,f:Leptopeltidaceae,g:Dothiopeltis,s:Dothiopeltis_n._sp."
ASV502,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Hypocreales,0.99,Cordycipitaceae,0.97,Elaphocordyceps,0.97,Elaphocordyceps_sp._20124794d,0.97,+,Species,Elaphocordyceps_sp._20124794d,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Elaphocordyceps,s:Elaphocordyceps_sp._20124794d"
ASV558,Fungi,1.00,Basidiomycota,1.00,Microbotryomycetes,0.90,Sporidiobolales,0.90,Sporidiobolaceae,0.90,Rhodotorula,0.90,Rhodotorula_sp._CCFEE_5628,0.82,+,Species,Rhodotorula_sp._CCFEE_5628,"k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula_sp._CCFEE_5628"
ASV585,Fungi,1.00,Basidiomycota,0.98,Agaricostilbomycetes,0.96,Agaricostilbales,0.96,Chionosphaeraceae,0.94,Kurtzmanomyces,0.91,Kurtzmanomyces_sp._CBS_12709,0.83,+,Species,Kurtzmanomyces_sp._CBS_12709,"k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Chionosphaeraceae,g:Kurtzmanomyces,s:Kurtzmanomyces_sp._CBS_12709"
ASV584,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.94,Pleosporales,0.94,Pleosporales_incertae_sedis,0.94,Paraconiothyrium,0.87,,,+,Genus,Paraconiothyrium,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporales_incertae_sedis,g:Paraconiothyrium"
ASV592,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Thelephorales,1.00,Thelephoraceae,1.00,Tomentella,1.00,Tomentella_sp.,1.00,+,Species,Tomentella_sp.,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Tomentella,s:Tomentella_sp."
ASV596,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Polyporales,1.00,Sistotremataceae,1.00,Trechispora,1.00,Trechispora_sp.,0.83,+,Species,Trechispora_sp.,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Sistotremataceae,g:Trechispora,s:Trechispora_sp."
ASV599,Fungi,1.00,Ascomycota,0.99,Ascomycota_class_incertae_sedis,0.96,Ascomycota_order_incertae_sedis,0.96,Ascomycota_family_incertae_sedis,0.96,Dendryphion,0.96,,,+,Genus,Dendryphion,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Dendryphion"
ASV602,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.80,Diaporthales,0.80,Diaporthaceae,0.80,Diaporthe,0.80,Diaporthe_cf._nobilis,0.80,+,Species,Diaporthe_cf._nobilis,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Diaporthe,s:Diaporthe_cf._nobilis"
