ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV151,148,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,1.0,,0.33,,0.33,Family,1.0,+
ASV152,146,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,0.98,Pinaceae,0.98,Picea,0.91,,,Genus,0.91,+
ASV153,145,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.87,Violaceae,0.86,,0.79,,0.18,Family,0.86,+
ASV154,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.98,Juncaceae,0.98,Luzula,0.98,Luzula acuminata,0.96,Species,0.96,-
ASV157,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.47,,0.47,,0.19,,0.19,Class,1.0,+
ASV159,127,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.67,,0.67,,0.62,,0.61,Class,1.0,+
ASV16,4864,0,0,0,4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.5,,0.4,,0.25,Class,1.0,+
ASV161,124,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.78,,0.78,,0.5,,,Class,1.0,+
ASV162,124,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.39,,0.39,,0.39,,,Class,1.0,+
ASV163,123,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.56,,0.41,,0.34,,0.23,Class,1.0,+
ASV164,122,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.31,,0.28,,0.18,,,Class,1.0,+
ASV165,121,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.64,,0.56,,0.56,Class,1.0,+
ASV166,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ericales,0.86,Primulaceae,0.83,,0.49,,0.48,Family,0.83,+
ASV167,120,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.79,,0.63,,0.42,,0.41,Class,1.0,+
ASV168,118,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.56,,0.48,,0.4,,0.24,Class,1.0,+
ASV17,4587,0,0,0,0,0,0,4587,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Rosales,0.81,,0.78,,,,,Order,0.81,+
ASV170,115,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.65,,0.65,,0.56,,0.56,Class,1.0,+
ASV171,115,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,0.99,,0.49,,0.49,,0.2,,0.2,Class,0.99,+
ASV172,113,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,1.0,Juncaceae,1.0,Luzula,1.0,Luzula acuminata,0.97,Species,0.97,-
ASV173,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.19,,0.15,,0.15,,,Class,1.0,+
ASV174,112,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,0.99,Pinaceae,0.99,Abies,0.97,,,Genus,0.97,+
ASV175,110,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,1.0,,0.34,,,Family,1.0,+
ASV176,110,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,1.0,,0.45,,0.45,Family,1.0,+
ASV177,110,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,0.99,Pinales,0.99,Pinaceae,0.99,Abies,0.99,,,Genus,0.99,+
