ASV_ID,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Strand,Deepest_rank,Deepest_taxon,Accepted_taxonomy
ASV760,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Eurotiomycetes,1.00,Eurotiales,1.00,Trichocomaceae,1.00,Penicillium,1.00,,,-,Genus,Penicillium,"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium"
ASV761,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Eurotiomycetes,1.00,Chaetothyriales,1.00,,,,,,,+,Order,Chaetothyriales,"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales"
ASV762,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,1.00,Microbotryomycetes,1.00,Sporidiobolales,1.00,Sporidiobolaceae,1.00,Rhodosporidiobolus,1.00,Rhodosporidiobolus_colostri,1.00,+,Species,Rhodosporidiobolus_colostri,"k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodosporidiobolus,s:Rhodosporidiobolus_colostri"
ASV763,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,0.95,Tremellomycetes,0.92,Tremellales,0.90,,,,,,,+,Order,Tremellales,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales"
ASV764,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,0.97,,,,,,,,,,,+,Phylum,Basidiomycota,"k:Fungi,p:Basidiomycota"
ASV765,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,1.00,Tremellomycetes,1.00,Tremellales,1.00,,,Dioszegia,1.00,Dioszegia_takashimae,1.00,+,Species,Dioszegia_takashimae,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,g:Dioszegia,s:Dioszegia_takashimae"
ASV766,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,0.84,Pleosporales,0.84,,,,,,,+,Order,Pleosporales,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
ASV767,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,0.99,Tremellomycetes,0.98,Tremellales,0.98,Trimorphomycetaceae,0.98,Carlosrosaea,0.98,Carlosrosaea_foliicola,0.98,-,Species,Carlosrosaea_foliicola,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Trimorphomycetaceae,g:Carlosrosaea,s:Carlosrosaea_foliicola"
ASV768,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Psathyrellaceae,1.00,,,,,+,Family,Psathyrellaceae,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Psathyrellaceae"
ASV769,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Polyporales,1.00,Sistotremataceae,1.00,Trechispora,1.00,Trechispora_microspora,1.00,+,Species,Trechispora_microspora,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Sistotremataceae,g:Trechispora,s:Trechispora_microspora"
ASV77,89,0,0,11,0,303,12,0,0,0,0,3,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Hypocreales,1.00,Nectriaceae,1.00,Fusarium,1.00,,,+,Genus,Fusarium,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium"
ASV770,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Taphrinomycetes,0.99,Taphrinales,0.99,Taphrinaceae,0.99,Taphrina,0.99,Taphrina_sp.,0.95,+,Species,Taphrina_sp.,"k:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Taphrinaceae,g:Taphrina,s:Taphrina_sp."
ASV771,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Lecanoromycetes,0.85,,,,,,,,,+,Class,Lecanoromycetes,"k:Fungi,p:Ascomycota,c:Lecanoromycetes"
ASV772,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,0.98,Lecanoromycetes,0.82,,,,,,,,,+,Class,Lecanoromycetes,"k:Fungi,p:Ascomycota,c:Lecanoromycetes"
ASV773,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,1.00,Mycosphaerellales,1.00,Mycosphaerellaceae,1.00,,,,,+,Family,Mycosphaerellaceae,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Mycosphaerellaceae"
ASV774,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV775,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,0.90,,,,,,,,,,,+,Phylum,Basidiomycota,"k:Fungi,p:Basidiomycota"
ASV776,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,1.00,Agaricostilbomycetes,1.00,Agaricostilbales,1.00,Agaricostilbaceae,1.00,Bensingtonia,1.00,Bensingtonia_sp._AS_2.2601,1.00,+,Species,Bensingtonia_sp._AS_2.2601,"k:Fungi,p:Basidiomycota,c:Agaricostilbomycetes,o:Agaricostilbales,f:Agaricostilbaceae,g:Bensingtonia,s:Bensingtonia_sp._AS_2.2601"
ASV777,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,,,,,,,,,,,,,+,Kingdom,Fungi,k:Fungi
ASV778,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,0.99,Leotiomycetes,0.99,Helotiales,0.99,,,,,,,+,Order,Helotiales,"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales"
ASV779,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,0.99,Leotiomycetes,0.99,Helotiales,0.99,Hyaloscyphaceae,0.99,Lachnellula,0.98,,,+,Genus,Lachnellula,"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Lachnellula"
ASV78,0,0,0,13,0,43,205,100,27,0,0,0,0,18,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,1.00,Microbotryomycetes,1.00,Sporidiobolales,1.00,Sporidiobolaceae,1.00,Rhodotorula,1.00,Rhodotorula_sp._CCFEE_5628,1.00,+,Species,Rhodotorula_sp._CCFEE_5628,"k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula_sp._CCFEE_5628"
ASV780,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,,,,,,,,,,,+,Phylum,Ascomycota,"k:Fungi,p:Ascomycota"
ASV781,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.94,Xylariales,0.94,Xylariaceae,0.94,Hypoxylon,0.91,Hypoxylon_fuscum,0.91,+,Species,Hypoxylon_fuscum,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Hypoxylon,s:Hypoxylon_fuscum"
ASV782,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Tricholomataceae,1.00,Paralepista,1.00,,,+,Genus,Paralepista,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Paralepista"
ASV783,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,0.98,Hypocreales,0.95,,,,,,,+,Order,Hypocreales,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
ASV784,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Sordariomycetes,1.00,Xylariales,0.94,,,,,,,+,Order,Xylariales,"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
ASV785,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Ascomycota_class_incertae_sedis,0.86,Ascomycota_order_incertae_sedis,0.86,Ascomycota_family_incertae_sedis,0.86,Preussia,0.86,Preussia_africana,0.84,+,Species,Preussia_africana,"k:Fungi,p:Ascomycota,c:Ascomycota_class_incertae_sedis,o:Ascomycota_order_incertae_sedis,f:Ascomycota_family_incertae_sedis,g:Preussia,s:Preussia_africana"
ASV786,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,1.00,Agaricomycetes,1.00,Agaricales,1.00,Entolomataceae,1.00,Entoloma,0.96,,,+,Genus,Entoloma,"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma"
ASV787,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Mucoromycota,1.00,Mucoromycetes,1.00,Mucorales,1.00,Umbelopsidaceae,1.00,Umbelopsis,1.00,,,+,Genus,Umbelopsis,"k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Umbelopsidaceae,g:Umbelopsis"
ASV788,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Basidiomycota,0.98,Tremellomycetes,0.93,Tremellales,0.92,,,,,,,+,Order,Tremellales,"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales"
ASV789,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Fungi,1.00,Ascomycota,1.00,Dothideomycetes,1.00,Mycosphaerellales,0.99,Mycosphaerellaceae,0.86,,,,,+,Family,Mycosphaerellaceae,"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mycosphaerellales,f:Mycosphaerellaceae"
