ASV14	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Sordariales(1.00),f:Lasiosphaeriaceae(0.99)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
ASV141	k:Fungi(1.00),p:Ascomycota(0.99),c:Sordariomycetes(0.95),o:Hypocreales(0.94),f:Nectriaceae(0.40),g:Cosmospora(0.16),s:Cosmospora_aff._viliuscula_PC-2011(0.11)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
ASV142	k:Fungi(1.00),p:Basidiomycota(0.73),c:Agaricomycetes(0.71),o:Agaricales(0.27),f:Hydnangiaceae(0.08),g:Laccaria(0.08),s:Laccaria_montana(0.08)	+	k:Fungi
ASV143	k:Fungi(1.00),p:Ascomycota(0.93),c:Leotiomycetes(0.72),o:Helotiales(0.71),f:Hyaloscyphaceae(0.40),g:Catenulifera(0.32),s:Catenulifera_brevicollaris(0.32)	+	k:Fungi,p:Ascomycota
ASV144	k:Fungi(1.00),p:Ascomycota(1.00),c:Dothideomycetes(0.98),o:Capnodiales(0.98),f:Davidiellaceae(0.98),g:Cladosporium(0.98),s:Cladosporium_oxysporum(0.54)	+	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Davidiellaceae,g:Cladosporium
ASV145	k:Fungi(1.00),p:Basidiomycota(0.66),c:Agaricomycetes(0.65),o:Boletales(0.25),f:Boletaceae(0.20),g:Tylopilus(0.20),s:Tylopilus_cf._balloui(0.20)	+	k:Fungi
ASV148	k:Fungi(1.00),p:Ascomycota(1.00),c:Leotiomycetes(0.97),o:Thelebolales(0.97),f:Thelebolaceae(0.97)	+	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae
ASV149	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Hypocreales(1.00)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
ASV150	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(0.73),o:Hypocreales(0.73),f:Nectriaceae(0.73),g:Fusarium(0.66),s:Fusarium_solani(0.58)	+	k:Fungi,p:Ascomycota
ASV151	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(0.99),o:Sordariales(0.98),f:Sordariaceae(0.73),g:Sordaria(0.73),s:Sordaria_araneosa(0.73)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
ASV152	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Hypocreales(1.00),f:Nectriaceae(1.00),g:Fusarium(0.99)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium
ASV154	k:Fungi(1.00),p:Basidiomycota(0.40),c:Agaricomycetes(0.33),o:Agaricales(0.27),f:Hydnangiaceae(0.10),g:Laccaria(0.10),s:Laccaria_montana(0.07)	+	k:Fungi
ASV146	k:Fungi(1.00),p:Basidiomycota(1.00)	+	k:Fungi,p:Basidiomycota
ASV147	k:Fungi(1.00),p:Basidiomycota(0.99),c:Agaricomycetes(0.99),o:Geastrales(0.81),g:Sphaerobolus(0.79),s:Sphaerobolus_iowensis(0.72)	+	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Geastrales
ASV156	k:Fungi(1.00),p:Basidiomycota(1.00),c:Microbotryomycetes(1.00),o:Leucosporidiales(1.00),g:Leucosporidiella(0.52),s:Leucosporidiella_creatinivora(0.48)	+	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales
ASV157	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Sordariales(0.99),f:Lasiosphaeriaceae(0.91)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Lasiosphaeriaceae
ASV159	k:Fungi(1.00),p:Basidiomycota(0.41),c:Agaricomycetes(0.19),o:Agaricales(0.11),f:Hygrophoraceae(0.04),g:Hygrocybe(0.04),s:Hygrocybe_sp._CA04(0.02)	+	k:Fungi
ASV16	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Microascales(1.00),f:Microascaceae(0.83),g:Doratomyces(0.81),s:Doratomyces_nanus(0.31)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Microascales,f:Microascaceae,g:Doratomyces
ASV162	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Lulworthiales(1.00)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Lulworthiales
ASV164	k:Fungi(1.00),p:Ascomycota(1.00)	+	k:Fungi,p:Ascomycota
ASV169	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Hypocreales(1.00),f:Bionectriaceae(0.99),g:Bionectria(0.99),s:Bionectria_sp.(0.99)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Bionectria,s:Bionectria_sp.
ASV17	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(0.98),o:Sordariales(0.98),f:Sordariaceae(0.72),g:Sordaria(0.72),s:Sordaria_araneosa(0.72)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
ASV170	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Hypocreales(0.97),f:Nectriaceae(0.96),g:Nectria(0.96),s:Nectria_nigrescens(0.64)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Nectria
ASV172	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Hypocreales(1.00),f:Nectriaceae(1.00),g:Fusarium(1.00),s:Fusarium_oxysporum(0.88)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium,s:Fusarium_oxysporum
ASV173	k:Fungi(1.00),p:Ascomycota(0.98),c:Saccharomycetes(0.95),o:Saccharomycetales(0.95),f:Saccharomycetaceae(0.95),g:Pichia(0.92),s:Pichia_fermentans(0.91)	+	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Saccharomycetaceae,g:Pichia,s:Pichia_fermentans
ASV174	k:Fungi(1.00),p:Ascomycota(0.99),c:Ascomycota_class_incertae_sedis(0.55),o:Ascomycota_order_incertae_sedis(0.55),f:Ascomycota_family_incertae_sedis(0.55),g:Preussia(0.54),s:Preussia_sp.(0.36)	+	k:Fungi,p:Ascomycota
ASV166	k:Fungi(1.00),p:Ascomycota(0.97),c:Leotiomycetes(0.69),o:Helotiales(0.61),f:Hyaloscyphaceae(0.26),g:Lachnellula(0.11),s:Lachnellula_tricolor(0.03)	+	k:Fungi,p:Ascomycota
ASV177	k:Fungi(1.00),p:Ascomycota(1.00),c:Pezizomycetes(1.00),o:Pezizales(1.00)	+	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales
ASV168	k:Fungi(1.00),p:Entomophthoromycota(0.31),c:Entomophthoromycetes(0.31),o:Entomophthorales(0.31),f:Entomophthoraceae(0.27),g:Pandora(0.26),s:Pandora_neoaphidis(0.15)	+	k:Fungi
ASV178	k:Fungi(1.00),p:Ascomycota(1.00),c:Dothideomycetes(0.84),o:Pleosporales(0.84),f:Leptosphaeriaceae(0.64)	+	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
ASV179	k:Fungi(1.00),p:Ascomycota(1.00),c:Pezizomycetes(1.00),o:Pezizales(1.00),g:Trichobolus(0.79),s:Trichobolus_zukalii(0.55)	+	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales
ASV180	k:Fungi(1.00),p:Ascomycota(0.59),c:Saccharomycetes(0.29),o:Saccharomycetales(0.29)	+	k:Fungi
ASV183	k:Fungi(1.00),p:Ascomycota(0.52),c:Saccharomycetes(0.18),o:Saccharomycetales(0.18),f:Saccharomycetaceae(0.05),g:Candida(0.04),s:Candida_digboiensis(0.03)	+	k:Fungi
ASV18	k:Fungi(1.00),p:Basidiomycota(1.00),c:Tremellomycetes(1.00),o:Trichosporonales(1.00),f:Trichosporonaceae(1.00),g:Cutaneotrichosporon(0.62),s:Cutaneotrichosporon_moniliiforme(0.42)	+	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Trichosporonales,f:Trichosporonaceae
ASV185	k:Fungi(1.00),p:Ascomycota(1.00),c:Dothideomycetes(0.95),o:Pleosporales(0.95),f:Phaeosphaeriaceae(0.95),g:Sclerostagonospora(0.95),s:Sclerostagonospora_sp.(0.95)	+	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Sclerostagonospora,s:Sclerostagonospora_sp.
ASV187	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Strophariaceae(1.00),g:Hypholoma(1.00),s:Hypholoma_sublateritium(1.00)	+	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Strophariaceae,g:Hypholoma,s:Hypholoma_sublateritium
ASV188	k:Fungi(1.00),p:Ascomycota(0.99)	+	k:Fungi,p:Ascomycota
ASV189	k:Fungi(1.00),p:Ascomycota(0.92),c:Ascomycota_class_incertae_sedis(0.51),o:Ascomycota_order_incertae_sedis(0.51),f:Ascomycota_family_incertae_sedis(0.51),g:Preussia(0.51),s:Preussia_sp.(0.24)	+	k:Fungi,p:Ascomycota
ASV19	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Sordariales(0.99),f:Sordariaceae(0.86),g:Sordaria(0.86),s:Sordaria_araneosa(0.86)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Sordariaceae,g:Sordaria,s:Sordaria_araneosa
ASV191	k:Fungi(1.00),p:Ascomycota(1.00),c:Eurotiomycetes(0.99),o:Chaetothyriales(0.99),f:Chaetothyriaceae(0.99),g:Cyphellophora(0.99),s:Cyphellophora_sessilis(0.99)	+	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Chaetothyriaceae,g:Cyphellophora,s:Cyphellophora_sessilis
ASV192	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Boletales(1.00),f:Melanogastraceae(1.00),g:Melanogaster(1.00),s:Melanogaster_broomeanus(0.56)	+	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales,f:Melanogastraceae,g:Melanogaster
ASV184	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Diaporthales(1.00),f:Valsaceae(1.00),g:Cytospora(0.97),s:Cytospora_predappioensis(0.94)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Valsaceae,g:Cytospora,s:Cytospora_predappioensis
ASV186	k:Fungi(1.00),p:Ascomycota(1.00),c:Dothideomycetes(0.99),o:Capnodiales(0.48)	+	k:Fungi,p:Ascomycota,c:Dothideomycetes
ASV193	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Strophariaceae(1.00),g:Hypholoma(1.00),s:Hypholoma_capnoides(1.00)	+	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Strophariaceae,g:Hypholoma,s:Hypholoma_capnoides
ASV194	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Hypocreales(1.00),f:Nectriaceae(1.00),g:Neonectria(0.75),s:Neonectria_coccinea(0.26)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae
ASV197	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Hypocreales(1.00),f:Nectriaceae(1.00),g:Fusarium(1.00),s:Fusarium_sp._SB7-4(0.25)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium
ASV198	k:Fungi(1.00),p:Basidiomycota(0.98),c:Tremellomycetes(0.96),o:Tremellales(0.94),f:Phaeotremellaceae(0.57),g:Phaeotremella(0.57),s:Phaeotremella_pseudofoliacea(0.36)	+	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
ASV199	k:Fungi(1.00),p:Ascomycota(1.00),c:Sordariomycetes(1.00),o:Xylariales(0.97),f:Xylariaceae(0.97),g:Nemania(0.97),s:Nemania_maritima(0.97)	+	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Nemania,s:Nemania_maritima
ASV2	k:Fungi(1.00),p:Ascomycota(1.00),c:Leotiomycetes(0.93),o:Thelebolales(0.93),f:Thelebolaceae(0.93)	+	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Thelebolaceae
ASV202	k:Fungi(1.00),p:Ascomycota(1.00),c:Eurotiomycetes(1.00),o:Eurotiales(1.00),f:Trichocomaceae(1.00),g:Penicillium(1.00),s:Penicillium_sp._YNLF-11(0.67)	+	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Penicillium
