ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV202,78,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.52,,0.51,,0.18,,,Class,1.0,-
ASV203,78,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.42,,0.4,,0.4,,0.26,Class,1.0,+
ASV206,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.41,,0.31,,0.23,,0.12,Class,1.0,+
ASV209,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.48,,0.43,,0.25,Class,1.0,+
ASV21,3732,0,0,0,3732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.73,,0.71,,0.19,,,Class,1.0,+
ASV211,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.73,,0.67,,0.2,,0.2,Class,1.0,+
ASV212,72,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.42,,0.35,,0.25,,0.11,Class,1.0,+
ASV215,71,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.57,,0.31,,0.12,,0.12,Class,1.0,+
ASV216,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.59,,0.59,,0.18,,0.18,Class,1.0,+
ASV217,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.63,,0.61,,0.22,,,Class,1.0,+
ASV218,69,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.65,,0.62,,,,,Class,1.0,-
ASV219,68,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.52,,0.5,,0.3,,0.3,Class,1.0,-
ASV22,3653,0,0,0,0,0,0,3653,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.53,,0.38,,0.32,,0.18,Class,1.0,+
ASV220,67,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.56,,0.29,,0.07,,0.02,Class,1.0,+
ASV221,65,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.7,,0.39,,0.39,,,Class,1.0,+
ASV228,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.16,,0.09,,0.05,,0.03,Class,1.0,+
ASV231,56,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.57,,0.36,,0.2,,,Class,1.0,-
ASV233,55,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.5,,0.5,,0.24,,0.24,Class,1.0,+
ASV234,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.79,,0.76,,0.39,,0.39,Class,1.0,+
ASV236,53,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.47,,0.25,,0.05,,0.05,Class,1.0,+
